Query,Handle,Title,Product Type,Color,Fabric,Craft,Official Description,LLM Image Description
Black,aana-jumpsuit,Aana Jumpsuit,Jumpsuit,Black,"Tussar, Silk",Thread Embroidery,Cosmic black embroidered jumpsuit in tussar georgette with silk thread work.,"The dress features a sleeveless black top with a floral embroidered neckline, a black midsection with floral embroidery, and wide-legged black pants.
"
Black,aaravi-kurta-set,Aaravi Kurta Set,Kurta Set,Black,Tussar Silk,"Thread Embroidery, Zari Work","Classy, attractive and a contemporary addition for your everyday wardrobe, this black tussar kurta is enhanced by paisley placement embroidery. It comes along with palazzos and an embroidered black dupatta.","The dress is a black three-piece suit featuring a long-sleeved kurta with a mandarin collar and a V-neckline, adorned with intricate white floral embroidery along the neckline, front panel, and hem, paired with matching black pants and a sheer black dupatta with a gold border and scattered paisley motifs.
"
Black,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
Black,bhupali-kurta-set,Bhupali Kurta Set,Kurta Set,Black,Mulmul,Thread Embroidery,This set features a black organza side panel kurta paired with black banarasi pants and an embroidered dupatta with butis and cutwork.,"The dress is a black, long-sleeved salwar kameez with pink floral embroidery along the neckline, front, and sleeves, featuring a scalloped pink trim along the front edge and a sheer black dupatta.
"
Black,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
Black,aana-jumpsuit,Aana Jumpsuit,Jumpsuit,Black,"Tussar, Silk",Thread Embroidery,Cosmic black embroidered jumpsuit in tussar georgette with silk thread work.,"The dress features a sleeveless black top with a floral embroidered neckline, a black midsection with floral embroidery, and wide-legged black pants.
"
Black,aaravi-kurta-set,Aaravi Kurta Set,Kurta Set,Black,Tussar Silk,"Thread Embroidery, Zari Work","Classy, attractive and a contemporary addition for your everyday wardrobe, this black tussar kurta is enhanced by paisley placement embroidery. It comes along with palazzos and an embroidered black dupatta.","The dress is a black three-piece suit featuring a long-sleeved kurta with a mandarin collar and a V-neckline, adorned with intricate white floral embroidery along the neckline, front panel, and hem, paired with matching black pants and a sheer black dupatta with a gold border and scattered paisley motifs.
"
Black,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
Black,bhupali-kurta-set,Bhupali Kurta Set,Kurta Set,Black,Mulmul,Thread Embroidery,This set features a black organza side panel kurta paired with black banarasi pants and an embroidered dupatta with butis and cutwork.,"The dress is a black, long-sleeved salwar kameez with pink floral embroidery along the neckline, front, and sleeves, featuring a scalloped pink trim along the front edge and a sheer black dupatta.
"
Black,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
Black,aana-jumpsuit,Aana Jumpsuit,Jumpsuit,Black,"Tussar, Silk",Thread Embroidery,Cosmic black embroidered jumpsuit in tussar georgette with silk thread work.,"The dress features a sleeveless black top with a floral embroidered neckline, a black midsection with floral embroidery, and wide-legged black pants.
"
Black,aaravi-kurta-set,Aaravi Kurta Set,Kurta Set,Black,Tussar Silk,"Thread Embroidery, Zari Work","Classy, attractive and a contemporary addition for your everyday wardrobe, this black tussar kurta is enhanced by paisley placement embroidery. It comes along with palazzos and an embroidered black dupatta.","The dress is a black three-piece suit featuring a long-sleeved kurta with a mandarin collar and a V-neckline, adorned with intricate white floral embroidery along the neckline, front panel, and hem, paired with matching black pants and a sheer black dupatta with a gold border and scattered paisley motifs.
"
Black,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
Black,bhupali-kurta-set,Bhupali Kurta Set,Kurta Set,Black,Mulmul,Thread Embroidery,This set features a black organza side panel kurta paired with black banarasi pants and an embroidered dupatta with butis and cutwork.,"The dress is a black, long-sleeved salwar kameez with pink floral embroidery along the neckline, front, and sleeves, featuring a scalloped pink trim along the front edge and a sheer black dupatta.
"
Black,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
Black,aana-jumpsuit,Aana Jumpsuit,Jumpsuit,Black,"Tussar, Silk",Thread Embroidery,Cosmic black embroidered jumpsuit in tussar georgette with silk thread work.,"The dress features a sleeveless black top with a floral embroidered neckline, a black midsection with floral embroidery, and wide-legged black pants.
"
Black,aaravi-kurta-set,Aaravi Kurta Set,Kurta Set,Black,Tussar Silk,"Thread Embroidery, Zari Work","Classy, attractive and a contemporary addition for your everyday wardrobe, this black tussar kurta is enhanced by paisley placement embroidery. It comes along with palazzos and an embroidered black dupatta.","The dress is a black three-piece suit featuring a long-sleeved kurta with a mandarin collar and a V-neckline, adorned with intricate white floral embroidery along the neckline, front panel, and hem, paired with matching black pants and a sheer black dupatta with a gold border and scattered paisley motifs.
"
Black,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
Black,bhupali-kurta-set,Bhupali Kurta Set,Kurta Set,Black,Mulmul,Thread Embroidery,This set features a black organza side panel kurta paired with black banarasi pants and an embroidered dupatta with butis and cutwork.,"The dress is a black, long-sleeved salwar kameez with pink floral embroidery along the neckline, front, and sleeves, featuring a scalloped pink trim along the front edge and a sheer black dupatta.
"
Black,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
Black,aana-jumpsuit,Aana Jumpsuit,Jumpsuit,Black,"Tussar, Silk",Thread Embroidery,Cosmic black embroidered jumpsuit in tussar georgette with silk thread work.,"The dress features a sleeveless black top with a floral embroidered neckline, a black midsection with floral embroidery, and wide-legged black pants.
"
Black,aaravi-kurta-set,Aaravi Kurta Set,Kurta Set,Black,Tussar Silk,"Thread Embroidery, Zari Work","Classy, attractive and a contemporary addition for your everyday wardrobe, this black tussar kurta is enhanced by paisley placement embroidery. It comes along with palazzos and an embroidered black dupatta.","The dress is a black three-piece suit featuring a long-sleeved kurta with a mandarin collar and a V-neckline, adorned with intricate white floral embroidery along the neckline, front panel, and hem, paired with matching black pants and a sheer black dupatta with a gold border and scattered paisley motifs.
"
Black,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
