Query,Handle,Title,Product Type,Color,Fabric,Craft,Official Description,LLM Image Description
Ek lehenga with floral ,nazveen-lehenga-set,Nazveen Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Organza",Zardozi Embroidery,This set features an embroidered raw silk lehenga and applique work blouse with metallic hand work. It comes along with an embroidered silk organza dupatta that has been enhanced with lace on the borders.,"The dress is a white lehenga choli with a three-quarter sleeve blouse featuring a high neckline and intricate square pattern embroidery in red, black, and gold, the skirt is white with scattered gold floral embroidery and a red and gold embellished border, and a sheer white dupatta with a matching red and gold border with fringe detailing.
"
Ek lehenga with floral ,manjari-lehenga-set,Manjari Lehenga Set,Lehenga Set,Uncategorized,Uncategorized,Banarasi,"Featuring a semi-bridal banarasi lehenga matched with an organza blouse and dupatta. Embroidered with silk threads, zari and tassels.","The dress is a green lehenga with gold floral patterns throughout the skirt, featuring a wide gold brocade border at the hem, paired with a beige blouse adorned with small gold embellishments and a sheer dupatta with green striped borders and tassel details.
"
Ek lehenga with floral ,kumkum-lehenga-set,Kumkum Lehenga Set,Lehenga Set,Red,"Banarasi Tissue, Raw Silk, Organza",Aari Work,This maroon tissue lehenga has been enhanced with elegant aari work floral motifs. It comes with an embroidered raw silk blouse and a fabric blocked tissue -organza dupatta.,"The dress is a red and gold lehenga with a heavily embroidered bodice featuring intricate patterns and embellishments, a flowing skirt with floral embroidery along the hem, and a matching dupatta with striped patterns and a decorative border.
"
Ek lehenga with floral ,mehdi-lehenga-set-olive,Mehdi Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Linen, Tissue, Silk",Aari Embroidery,"Radiate sheer elegance in our Handwoven Raw Silk 26 Kalidar Lehenga Set. This masterpiece features exquisite floral aari embroidery and shimmering gold sequin work on the lehenga, complemented by a V-neck blouse adorned with geometric mirror work. Complete the look with our handwoven linen tissue multi-colour striped dupatta, showcasing stunning geometric thread embroidery for a truly enchanting outfit.This handwoven ensemble showcases unique charm and character with slight irregularities in pattern, colour, or texture, celebrating the craftsmanship and individuality of each piece. Embrace these variations as part of the product's story, crafted with care and attention to detail.","The dress is a lehenga choli set featuring a cropped blouse with a deep V-neckline and long sleeves, adorned with intricate geometric patterns in shades of brown, red, and gold, paired with a high-waisted, flared lehenga skirt in a dark olive green color, embellished with a dense floral print in red, orange, and white, and a dupatta with a geometric pattern in beige and red with a gold trim.
"
Ek lehenga with floral ,aroosa-lehenga-set,Aroosa Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Tulle",Zardozi Embroidery,"This set features embroidered raw silk semi formal lehenga, embroidered blouse enhanced with metallic handwork embroideryand a tulle dupatta.","The dress is a three-piece lehenga set featuring a short-sleeved blouse with intricate gold embroidery, a high-waisted, full-flared skirt with matching gold floral embroidery and small embellishments, and a sheer white dupatta with gold polka dots and a decorative border.
"
Ek lehenga with floral ,nazveen-lehenga-set,Nazveen Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Organza",Zardozi Embroidery,This set features an embroidered raw silk lehenga and applique work blouse with metallic hand work. It comes along with an embroidered silk organza dupatta that has been enhanced with lace on the borders.,"The dress is a white lehenga choli with a three-quarter sleeve blouse featuring a high neckline and intricate square pattern embroidery in red, black, and gold, the skirt is white with scattered gold floral embroidery and a red and gold embellished border, and a sheer white dupatta with a matching red and gold border with fringe detailing.
"
Ek lehenga with floral ,manjari-lehenga-set,Manjari Lehenga Set,Lehenga Set,Uncategorized,Uncategorized,Banarasi,"Featuring a semi-bridal banarasi lehenga matched with an organza blouse and dupatta. Embroidered with silk threads, zari and tassels.","The dress is a green lehenga with gold floral patterns throughout the skirt, featuring a wide gold brocade border at the hem, paired with a beige blouse adorned with small gold embellishments and a sheer dupatta with green striped borders and tassel details.
"
Ek lehenga with floral ,kumkum-lehenga-set,Kumkum Lehenga Set,Lehenga Set,Red,"Banarasi Tissue, Raw Silk, Organza",Aari Work,This maroon tissue lehenga has been enhanced with elegant aari work floral motifs. It comes with an embroidered raw silk blouse and a fabric blocked tissue -organza dupatta.,"The dress is a red and gold lehenga with a heavily embroidered bodice featuring intricate patterns and embellishments, a flowing skirt with floral embroidery along the hem, and a matching dupatta with striped patterns and a decorative border.
"
Ek lehenga with floral ,mehdi-lehenga-set-olive,Mehdi Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Linen, Tissue, Silk",Aari Embroidery,"Radiate sheer elegance in our Handwoven Raw Silk 26 Kalidar Lehenga Set. This masterpiece features exquisite floral aari embroidery and shimmering gold sequin work on the lehenga, complemented by a V-neck blouse adorned with geometric mirror work. Complete the look with our handwoven linen tissue multi-colour striped dupatta, showcasing stunning geometric thread embroidery for a truly enchanting outfit.This handwoven ensemble showcases unique charm and character with slight irregularities in pattern, colour, or texture, celebrating the craftsmanship and individuality of each piece. Embrace these variations as part of the product's story, crafted with care and attention to detail.","The dress is a lehenga choli set featuring a cropped blouse with a deep V-neckline and long sleeves, adorned with intricate geometric patterns in shades of brown, red, and gold, paired with a high-waisted, flared lehenga skirt in a dark olive green color, embellished with a dense floral print in red, orange, and white, and a dupatta with a geometric pattern in beige and red with a gold trim.
"
Ek lehenga with floral ,aroosa-lehenga-set,Aroosa Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Tulle",Zardozi Embroidery,"This set features embroidered raw silk semi formal lehenga, embroidered blouse enhanced with metallic handwork embroideryand a tulle dupatta.","The dress is a three-piece lehenga set featuring a short-sleeved blouse with intricate gold embroidery, a high-waisted, full-flared skirt with matching gold floral embroidery and small embellishments, and a sheer white dupatta with gold polka dots and a decorative border.
"
Ek lehenga with floral ,nazveen-lehenga-set,Nazveen Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Organza",Zardozi Embroidery,This set features an embroidered raw silk lehenga and applique work blouse with metallic hand work. It comes along with an embroidered silk organza dupatta that has been enhanced with lace on the borders.,"The dress is a white lehenga choli with a three-quarter sleeve blouse featuring a high neckline and intricate square pattern embroidery in red, black, and gold, the skirt is white with scattered gold floral embroidery and a red and gold embellished border, and a sheer white dupatta with a matching red and gold border with fringe detailing.
"
Ek lehenga with floral ,manjari-lehenga-set,Manjari Lehenga Set,Lehenga Set,Uncategorized,Uncategorized,Banarasi,"Featuring a semi-bridal banarasi lehenga matched with an organza blouse and dupatta. Embroidered with silk threads, zari and tassels.","The dress is a green lehenga with gold floral patterns throughout the skirt, featuring a wide gold brocade border at the hem, paired with a beige blouse adorned with small gold embellishments and a sheer dupatta with green striped borders and tassel details.
"
Ek lehenga with floral ,kumkum-lehenga-set,Kumkum Lehenga Set,Lehenga Set,Red,"Banarasi Tissue, Raw Silk, Organza",Aari Work,This maroon tissue lehenga has been enhanced with elegant aari work floral motifs. It comes with an embroidered raw silk blouse and a fabric blocked tissue -organza dupatta.,"The dress is a red and gold lehenga with a heavily embroidered bodice featuring intricate patterns and embellishments, a flowing skirt with floral embroidery along the hem, and a matching dupatta with striped patterns and a decorative border.
"
Ek lehenga with floral ,mehdi-lehenga-set-olive,Mehdi Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Linen, Tissue, Silk",Aari Embroidery,"Radiate sheer elegance in our Handwoven Raw Silk 26 Kalidar Lehenga Set. This masterpiece features exquisite floral aari embroidery and shimmering gold sequin work on the lehenga, complemented by a V-neck blouse adorned with geometric mirror work. Complete the look with our handwoven linen tissue multi-colour striped dupatta, showcasing stunning geometric thread embroidery for a truly enchanting outfit.This handwoven ensemble showcases unique charm and character with slight irregularities in pattern, colour, or texture, celebrating the craftsmanship and individuality of each piece. Embrace these variations as part of the product's story, crafted with care and attention to detail.","The dress is a lehenga choli set featuring a cropped blouse with a deep V-neckline and long sleeves, adorned with intricate geometric patterns in shades of brown, red, and gold, paired with a high-waisted, flared lehenga skirt in a dark olive green color, embellished with a dense floral print in red, orange, and white, and a dupatta with a geometric pattern in beige and red with a gold trim.
"
Ek lehenga with floral ,aroosa-lehenga-set,Aroosa Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Tulle",Zardozi Embroidery,"This set features embroidered raw silk semi formal lehenga, embroidered blouse enhanced with metallic handwork embroideryand a tulle dupatta.","The dress is a three-piece lehenga set featuring a short-sleeved blouse with intricate gold embroidery, a high-waisted, full-flared skirt with matching gold floral embroidery and small embellishments, and a sheer white dupatta with gold polka dots and a decorative border.
"
Ek lehenga with floral ,nazveen-lehenga-set,Nazveen Lehenga Set,Lehenga Set,Uncategorized,"Raw Silk, Organza",Zardozi Embroidery,This set features an embroidered raw silk lehenga and applique work blouse with metallic hand work. It comes along with an embroidered silk organza dupatta that has been enhanced with lace on the borders.,"The dress is a white lehenga choli with a three-quarter sleeve blouse featuring a high neckline and intricate square pattern embroidery in red, black, and gold, the skirt is white with scattered gold floral embroidery and a red and gold embellished border, and a sheer white dupatta with a matching red and gold border with fringe detailing.
"
Ek lehenga with floral ,manjari-lehenga-set,Manjari Lehenga Set,Lehenga Set,Uncategorized,Uncategorized,Banarasi,"Featuring a semi-bridal banarasi lehenga matched with an organza blouse and dupatta. Embroidered with silk threads, zari and tassels.","The dress is a green lehenga with gold floral patterns throughout the skirt, featuring a wide gold brocade border at the hem, paired with a beige blouse adorned with small gold embellishments and a sheer dupatta with green striped borders and tassel details.
"
