Query,Handle,Title,Product Type,Color,Fabric,Craft,Official Description,LLM Image Description
asdfghjklasdfghjkasdfghj,zahoor-tunic,Zahoor Shirt,Uncategorized,Uncategorized,Linen,Dori Work,A must have wardrobe staple. This is a classic basic shirt enhanced with frill detailing.,"The dress is a light pink, long-sleeved button-down shirt with a ruffled placket and white floral embroidery along the front panels and sleeves.
"
asdfghjklasdfghjkasdfghj,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
asdfghjklasdfghjkasdfghj,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
asdfghjklasdfghjkasdfghj,warda-co-ordinate-set-3315,Warda Co-Ordinate Set,Co-ordinate Set,"Beige, White",Linen,Thread Embroidery,"Step into the exquisite details of our co-ordinate set, a canvas of timeless romance spun from the finest beige pure linen. The top boasts a deep V neck and loose tassles that can be tied up in a bow, adorned with captivating geometric patterns in tonal silk thread and a subtle yet striking border that commands attention. Each sleeve whispers tales of elegance with embroidered cuffs, while floral motifs dance delicately along the top's silhouette. Paired with matching pants, this ensemble is a symphony of sophistication and style, inviting you to embrace the artistry of love.","The dress is a light-colored, possibly off-white or cream, two-piece set consisting of a long-sleeved top and matching pants, both pieces feature intricate, subtle embroidery or textured patterns, the top has a V-neckline with tassel details and the pants have a straight-leg cut with a geometric pattern.
"
asdfghjklasdfghjkasdfghj,naima-co-ordinate-set-3314,Naima Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Thread Embroidery,"Savour the splendor of our exquisite co-ordinate set, where every stitch tells a tale of refined elegance. The beige pure linen top drapes in a loose embrace, its stand collar adorned with gentle gathers and kissed by the grace of kimono sleeves, evoking a chic, effortless allure. A delicate dance of floral embroidery graces the collar and sleeves, each petal whispering tales of timeless sophistication, while the pants echo this floral symphony, completing the ensemble with a flourish of style and grace.","The dress is a light beige two-piece set featuring a tunic-style top with a mandarin collar and a short placket adorned with delicate embroidery, the top has three-quarter sleeves with embroidered cuffs, paired with matching wide-leg pants that are also embellished with subtle floral embroidery throughout.
"
asdfghjklasdfghjkasdfghj,zahoor-tunic,Zahoor Shirt,Uncategorized,Uncategorized,Linen,Dori Work,A must have wardrobe staple. This is a classic basic shirt enhanced with frill detailing.,"The dress is a light pink, long-sleeved button-down shirt with a ruffled placket and white floral embroidery along the front panels and sleeves.
"
asdfghjklasdfghjkasdfghj,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
asdfghjklasdfghjkasdfghj,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
asdfghjklasdfghjkasdfghj,warda-co-ordinate-set-3315,Warda Co-Ordinate Set,Co-ordinate Set,"Beige, White",Linen,Thread Embroidery,"Step into the exquisite details of our co-ordinate set, a canvas of timeless romance spun from the finest beige pure linen. The top boasts a deep V neck and loose tassles that can be tied up in a bow, adorned with captivating geometric patterns in tonal silk thread and a subtle yet striking border that commands attention. Each sleeve whispers tales of elegance with embroidered cuffs, while floral motifs dance delicately along the top's silhouette. Paired with matching pants, this ensemble is a symphony of sophistication and style, inviting you to embrace the artistry of love.","The dress is a light-colored, possibly off-white or cream, two-piece set consisting of a long-sleeved top and matching pants, both pieces feature intricate, subtle embroidery or textured patterns, the top has a V-neckline with tassel details and the pants have a straight-leg cut with a geometric pattern.
"
asdfghjklasdfghjkasdfghj,naima-co-ordinate-set-3314,Naima Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Thread Embroidery,"Savour the splendor of our exquisite co-ordinate set, where every stitch tells a tale of refined elegance. The beige pure linen top drapes in a loose embrace, its stand collar adorned with gentle gathers and kissed by the grace of kimono sleeves, evoking a chic, effortless allure. A delicate dance of floral embroidery graces the collar and sleeves, each petal whispering tales of timeless sophistication, while the pants echo this floral symphony, completing the ensemble with a flourish of style and grace.","The dress is a light beige two-piece set featuring a tunic-style top with a mandarin collar and a short placket adorned with delicate embroidery, the top has three-quarter sleeves with embroidered cuffs, paired with matching wide-leg pants that are also embellished with subtle floral embroidery throughout.
"
asdfghjklasdfghjkasdfghj,zahoor-tunic,Zahoor Shirt,Uncategorized,Uncategorized,Linen,Dori Work,A must have wardrobe staple. This is a classic basic shirt enhanced with frill detailing.,"The dress is a light pink, long-sleeved button-down shirt with a ruffled placket and white floral embroidery along the front panels and sleeves.
"
asdfghjklasdfghjkasdfghj,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
asdfghjklasdfghjkasdfghj,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
asdfghjklasdfghjkasdfghj,warda-co-ordinate-set-3315,Warda Co-Ordinate Set,Co-ordinate Set,"Beige, White",Linen,Thread Embroidery,"Step into the exquisite details of our co-ordinate set, a canvas of timeless romance spun from the finest beige pure linen. The top boasts a deep V neck and loose tassles that can be tied up in a bow, adorned with captivating geometric patterns in tonal silk thread and a subtle yet striking border that commands attention. Each sleeve whispers tales of elegance with embroidered cuffs, while floral motifs dance delicately along the top's silhouette. Paired with matching pants, this ensemble is a symphony of sophistication and style, inviting you to embrace the artistry of love.","The dress is a light-colored, possibly off-white or cream, two-piece set consisting of a long-sleeved top and matching pants, both pieces feature intricate, subtle embroidery or textured patterns, the top has a V-neckline with tassel details and the pants have a straight-leg cut with a geometric pattern.
"
asdfghjklasdfghjkasdfghj,naima-co-ordinate-set-3314,Naima Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Thread Embroidery,"Savour the splendor of our exquisite co-ordinate set, where every stitch tells a tale of refined elegance. The beige pure linen top drapes in a loose embrace, its stand collar adorned with gentle gathers and kissed by the grace of kimono sleeves, evoking a chic, effortless allure. A delicate dance of floral embroidery graces the collar and sleeves, each petal whispering tales of timeless sophistication, while the pants echo this floral symphony, completing the ensemble with a flourish of style and grace.","The dress is a light beige two-piece set featuring a tunic-style top with a mandarin collar and a short placket adorned with delicate embroidery, the top has three-quarter sleeves with embroidered cuffs, paired with matching wide-leg pants that are also embellished with subtle floral embroidery throughout.
"
asdfghjklasdfghjkasdfghj,zahoor-tunic,Zahoor Shirt,Uncategorized,Uncategorized,Linen,Dori Work,A must have wardrobe staple. This is a classic basic shirt enhanced with frill detailing.,"The dress is a light pink, long-sleeved button-down shirt with a ruffled placket and white floral embroidery along the front panels and sleeves.
"
asdfghjklasdfghjkasdfghj,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
