Query,Handle,Title,Product Type,Color,Fabric,Craft,Official Description,LLM Image Description
Black color,aana-jumpsuit,Aana Jumpsuit,Jumpsuit,Black,"Tussar, Silk",Thread Embroidery,Cosmic black embroidered jumpsuit in tussar georgette with silk thread work.,"The dress features a sleeveless black top with a floral embroidered neckline, a black midsection with floral embroidery, and wide-legged black pants.
"
Black color,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
Black color,bhupali-kurta-set,Bhupali Kurta Set,Kurta Set,Black,Mulmul,Thread Embroidery,This set features a black organza side panel kurta paired with black banarasi pants and an embroidered dupatta with butis and cutwork.,"The dress is a black, long-sleeved salwar kameez with pink floral embroidery along the neckline, front, and sleeves, featuring a scalloped pink trim along the front edge and a sheer black dupatta.
"
Black color,raha-co-ordinate-set-3473,Raha Co ordinate Set,Co-ordinate Set,Black,Linen,Thread Embroidery,"This black pure linen co-ordinate set is a masterpiece of understated luxury. The shirt, with its elegant tie-knot collar, drapes gracefully with full gathered sleeves and delicate cuffs, accentuated by intricate gathered detailing on the shoulders. It is paired with matching pleated, loose-fit pants featuring side pockets, creating a harmonious flow. The shirt is adorned with exquisite multi-color silk thread floral motif embroidery.","The dress is a black two-piece outfit featuring a long-sleeved top with a tie at the neck and floral embroidery on the sleeves and front, paired with wide-legged trousers that have a unique folded or pleated design at the front.
"
Black color,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
Black color,aana-jumpsuit,Aana Jumpsuit,Jumpsuit,Black,"Tussar, Silk",Thread Embroidery,Cosmic black embroidered jumpsuit in tussar georgette with silk thread work.,"The dress features a sleeveless black top with a floral embroidered neckline, a black midsection with floral embroidery, and wide-legged black pants.
"
Black color,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
Black color,bhupali-kurta-set,Bhupali Kurta Set,Kurta Set,Black,Mulmul,Thread Embroidery,This set features a black organza side panel kurta paired with black banarasi pants and an embroidered dupatta with butis and cutwork.,"The dress is a black, long-sleeved salwar kameez with pink floral embroidery along the neckline, front, and sleeves, featuring a scalloped pink trim along the front edge and a sheer black dupatta.
"
Black color,raha-co-ordinate-set-3473,Raha Co ordinate Set,Co-ordinate Set,Black,Linen,Thread Embroidery,"This black pure linen co-ordinate set is a masterpiece of understated luxury. The shirt, with its elegant tie-knot collar, drapes gracefully with full gathered sleeves and delicate cuffs, accentuated by intricate gathered detailing on the shoulders. It is paired with matching pleated, loose-fit pants featuring side pockets, creating a harmonious flow. The shirt is adorned with exquisite multi-color silk thread floral motif embroidery.","The dress is a black two-piece outfit featuring a long-sleeved top with a tie at the neck and floral embroidery on the sleeves and front, paired with wide-legged trousers that have a unique folded or pleated design at the front.
"
Black color,shaza-tunic,Shaza Tunic Set,Tunic Set,White,Linen,Thread Embroidery,An embroidred off-white linen overlap shirt. Pair it with your favorite separates,"The dress is a light beige, linen-like top with a wrap-style V-neckline, short sleeves, and floral embroidery in shades of pink, purple, and green along the neckline and front panel, paired with matching light beige, linen-like straight-leg pants.
"
Black color,aana-jumpsuit,Aana Jumpsuit,Jumpsuit,Black,"Tussar, Silk",Thread Embroidery,Cosmic black embroidered jumpsuit in tussar georgette with silk thread work.,"The dress features a sleeveless black top with a floral embroidered neckline, a black midsection with floral embroidery, and wide-legged black pants.
"
Black color,aami-co-ordinate-set-3354,Aami Co-Ordinate Set,Co-ordinate Set,Beige,Linen,Gara Embroidery,"Make a statement with our exquisite beige pure linen co-ordinate set. The shirt features a modern high-low hem and loose fit, adorned with delicate tonal gara embroidery flowers. Paired with straight pants embellished with matching embroidered geometrical motifs, this ensemble exudes sophistication and style.","The dress is a light beige, button-down shirt with a collar and long sleeves, featuring decorative trim along the button line and hem, paired with matching pants that have a subtle geometric pattern.
"
Black color,bhupali-kurta-set,Bhupali Kurta Set,Kurta Set,Black,Mulmul,Thread Embroidery,This set features a black organza side panel kurta paired with black banarasi pants and an embroidered dupatta with butis and cutwork.,"The dress is a black, long-sleeved salwar kameez with pink floral embroidery along the neckline, front, and sleeves, featuring a scalloped pink trim along the front edge and a sheer black dupatta.
"
