Handle,Title,Type,Tags,description,Fabric,Embroidery,Craft,Fit,Delivery,combined
gaia-co-ordinate-set-3583,Gaia Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Powder Blue, Pret, Pure Linen, Sabaa","This powder blue co-ordinate set is crafted from pure linen, it features one shoulder a A-line top. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned with dori and silk thread embroidery enhanced with beads and sequins.",Pure Linen,This is adorned with dori and silk thread embroidery enhanced with beads and sequins.,"Dori Embroidery, Silk Thread Embroidery, Bead Work, Sequin Embroidery",Comfortable Fit,4-5 Weeks,"{'Handle': 'gaia-co-ordinate-set-3583', 'Type': 'Co-ordinate Set', 'Title': 'Gaia Co ordinate Set', 'description': 'This powder blue co-ordinate set is crafted from pure linen, it features one shoulder a A-line top. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned with dori and silk thread embroidery enhanced with beads and sequins.', 'Fabric': 'Pure Linen', 'Embroidery': 'This is adorned with dori and silk thread embroidery enhanced with beads and sequins.', 'Craft': 'Dori Embroidery, Silk Thread Embroidery, Bead Work, Sequin Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
shiqa-co-ordinate-set-3582,Shiqa Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Mint Green, New, Not On Sale, Pret, Pure Linen, Sabaa","This mint green co-ordinate set is crafted from pure linen, it features a A-line top with straps. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned multicolour silk thread embroidery.",Pure Linen,This is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'shiqa-co-ordinate-set-3582', 'Type': 'Co-ordinate Set', 'Title': 'Shiqa Co ordinate Set', 'description': 'This mint green co-ordinate set is crafted from pure linen, it features a A-line top with straps. It is paired with loose fit pants featuring functional pockets. The ensemble is beautifully adorned multicolour silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This is adorned with multicolour silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
arzen-co-ordinate-set-3581,Arzen Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Light Pink, New, Not On Sale, Pret, Pure Linen, Sabaa","This co-ordinate set is crafted from pure linen and features a light pink shirt with a front button placket, a classic shirt collar, full sleeves with gathered cuffs and pockets at the front. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with silk thread embroidery.",Pure Linen,This is adorned with silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'arzen-co-ordinate-set-3581', 'Type': 'Co-ordinate Set', 'Title': 'Arzen Co ordinate Set', 'description': 'This co-ordinate set is crafted from pure linen and features a light pink shirt with a front button placket, a classic shirt collar, full sleeves with gathered cuffs and pockets at the front. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This is adorned with silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
alisha-co-ordinate-set-3580,Alisha Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Pret, Pure Linen, Sabaa, White-Beige",This white beige co-ordinate set is crafted from pure striped linen. The peplum top features a square neck and full-length sleeves with cuffs. It is paired with straight-fit pants featuring functional pockets. The ensemble is adorned with multicolour silk thread embroidery.,Pure Linen,This is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'alisha-co-ordinate-set-3580', 'Type': 'Co-ordinate Set', 'Title': 'Alisha Co ordinate Set', 'description': 'This white beige co-ordinate set is crafted from pure striped linen. The peplum top features a square neck and full-length sleeves with cuffs. It is paired with straight-fit pants featuring functional pockets. The ensemble is adorned with multicolour silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This is adorned with multicolour silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
cyra-co-ordinate-set-3579,Cyra Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Lemon Yellow, New, Not On Sale, Pret, Pure Linen, Sabaa","This co-ordinate set is crafted from pure linen and features a lemon yellow shirt with a front button placket, a touch neck, and kimono sleeves. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with appliqué work and multicoloured silk thread embroidery.",Pure Linen,This piece is adorned with multicolour silk thread embroidery enhanced with beads and sequins,"Silk Thread Embroidery, Bead Work, Sequin Embroidery",Comfortable Fit,4-5 Weeks,"{'Handle': 'cyra-co-ordinate-set-3579', 'Type': 'Co-ordinate Set', 'Title': 'Cyra Co ordinate Set', 'description': 'This co-ordinate set is crafted from pure linen and features a lemon yellow shirt with a front button placket, a touch neck, and kimono sleeves. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with appliqué work and multicoloured silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery enhanced with beads and sequins', 'Craft': 'Silk Thread Embroidery, Bead Work, Sequin Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
elara-co-ordinate-set-3578,Elara Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Light Grey, New, Not On Sale, Pret, Pure Linen, Sabaa","This light grey co-ordinate set is crafted from pure striped linen. The pleated top features a front button placket, V neck, and full sleeves with cuffs. It is paired with loose-fit pants with functional pockets. The ensemble is beautifully adorned with multicoloured silk thread embroidery.",Pure Linen,This is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'elara-co-ordinate-set-3578', 'Type': 'Co-ordinate Set', 'Title': 'Elara Co ordinate Set', 'description': 'This light grey co-ordinate set is crafted from pure striped linen. The pleated top features a front button placket, V neck, and full sleeves with cuffs. It is paired with loose-fit pants with functional pockets. The ensemble is beautifully adorned with multicoloured silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This is adorned with multicolour silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
raisa-co-ordinate-set-3577,Raisa Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Lemon Yellow, New, Not On Sale, Pret, Pure Linen, Sabaa",This lemon yellow co-ordinate set is crafted from pure linen. This asymmetrical top features a touch neck with slit with dropped shoulders. It is paired with a straight fit pants with functional pockets. The ensemble is adorned with silk thread embroidery enhanced with 3D flowers.,Pure Linen,This piece is adorned with silk thread embroidery with 3D work,"Silk Thread Embroidery, 3D Embroidery",Comfortable Fit,4-5 Weeks,"{'Handle': 'raisa-co-ordinate-set-3577', 'Type': 'Co-ordinate Set', 'Title': 'Raisa Co ordinate Set', 'description': 'This lemon yellow co-ordinate set is crafted from pure linen. This asymmetrical top features a touch neck with slit with dropped shoulders. It is paired with a straight fit pants with functional pockets. The ensemble is adorned with silk thread embroidery enhanced with 3D flowers.', 'Fabric': 'Pure Linen', 'Embroidery': 'This piece is adorned with silk thread embroidery with 3D work', 'Craft': 'Silk Thread Embroidery, 3D Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
soha-co-ordinate-set-3576,Soha Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, Light Pink, New, Not On Sale, Pret, Pure Linen, Sabaa","This co-ordinate set is crafted from pure linen and features a light pink shirt with a front button placket, a touch neck, and kimono sleeves. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with appliqué work and multicoloured silk thread embroidery.",Pure Linen,This piece is adorned with Applique work with multicolour silk thread embroidery.,"Appliqué Work, Silk Thread Embroidery",Comfortable Fit,4-5 Weeks,"{'Handle': 'soha-co-ordinate-set-3576', 'Type': 'Co-ordinate Set', 'Title': 'Soha Co ordinate Set', 'description': 'This co-ordinate set is crafted from pure linen and features a light pink shirt with a front button placket, a touch neck, and kimono sleeves. It is paired with white straight-fit pants with pockets. The ensemble is intricately adorned with appliqué work and multicoloured silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This piece is adorned with Applique work with multicolour silk thread embroidery.', 'Craft': 'Appliqué Work, Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
lamya-co-ordinate-set-3575,Lamya Co ordinate Set,Co-ordinate Set,"Brunch, DLVRY 4-5 Weeks, Loose Fit, Mint Green, New, Not On Sale, Pret, Pure Linen, Sabaa","This mint green co-ordinate set is crafted from pure linen. The shirt features a front button placket, a classic shirt collar, and full sleeves with cuffs. It is paired with pleated, loose-fit pants with functional pockets. The ensemble is beautifully adorned with multicoloured silk thread embroidery and cotton thread hangings at the back of the shirt.",Pure Linen,This piece is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Loose Fit,4-5 Weeks,"{'Handle': 'lamya-co-ordinate-set-3575', 'Type': 'Co-ordinate Set', 'Title': 'Lamya Co ordinate Set', 'description': 'This mint green co-ordinate set is crafted from pure linen. The shirt features a front button placket, a classic shirt collar, and full sleeves with cuffs. It is paired with pleated, loose-fit pants with functional pockets. The ensemble is beautifully adorned with multicoloured silk thread embroidery and cotton thread hangings at the back of the shirt.', 'Fabric': 'Pure Linen', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Loose Fit', 'Delivery': '4-5 Weeks'}"
sania-co-ordinate-set-3574,Sania Co ordinate Set,Co-ordinate Set,"Brunch, Comfortable Fit, DLVRY 4-5 Weeks, New, Not On Sale, Pret, Pure Linen, Sabaa, White-Beige","This white beige co-ordinate set is crafted from pure striped linen. The top features a front button placket, a peter pan collar, and three quarter sleeves with cuffs. It is paired with loose-fit pants featuring functional pockets. The ensemble is beautifully adorned with multicolour silk thread embroidery.",Pure Linen,This piece is adorned with multicolour silk thread embroidery.,Silk Thread Embroidery,Comfortable Fit,4-5 Weeks,"{'Handle': 'sania-co-ordinate-set-3574', 'Type': 'Co-ordinate Set', 'Title': 'Sania Co ordinate Set', 'description': 'This white beige co-ordinate set is crafted from pure striped linen. The top features a front button placket, a peter pan collar, and three quarter sleeves with cuffs. It is paired with loose-fit pants featuring functional pockets. The ensemble is beautifully adorned with multicolour silk thread embroidery.', 'Fabric': 'Pure Linen', 'Embroidery': 'This piece is adorned with multicolour silk thread embroidery.', 'Craft': 'Silk Thread Embroidery', 'Fit': 'Comfortable Fit', 'Delivery': '4-5 Weeks'}"
